Site.ID,Ref No_x,Ref No_y
9565,1141120063802,
50047,4146160350900,
9566,5141240714100,
9636,8141350411501,
8883,8141351262000,
50739,10146141679402,
"Chinese Director HR, H#204-A",15141121096700,
"Chinese Director HR, H#204-B",15141121096800,
RCFE,15141121107200,
50247,15141121107201,
50966,24141192910701,
8899,24142122892500,
9298,24142133000400,
3048,24142133005300,
8604,24142133007400,
51222,24142133013801,
52860,24142133075002,
51023,24142133075112,
52175,24142133075518,
8087,24142163215500,
51001,24142443919000,
50464,24143547326001,
52037,24143547326011,
50737,24143547327206,
8795,24143547327600,
8816,24143547328900,
50776,24143577368006,
52095,24143577368602,
52097,24143577368607,
8851,24143577369104,
52031,24143577369105,
51567,24143577369513,
3105,24143577383601,
9292,24143577383604,
52098,24143577385104,
50044,24146136713701,
52187,24146162477101,
8187,28143144489300,
8444,28144328481900,
9471,28146236830900,
9470,28146236831003,
53328,28146459860102,
52857,28146459860901,
8490,28146459862601,
3334,28146459862602,
